"Data Source","World Development Indicators",

"Last Updated Date","2017-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17342.4719395745","16441.7906361916","16585.1955307263","17926.5728361165","19081.351656125","19356.2033894901","20620.7006259175","20670.6556635493","20434.2994364477","20834.5101990131","22567.8249248908","23302.8319880055","24014.9442670501","25921.026051998","27546.8993898034","24631.4348604167","24271.9404205267","25324.7203624669","","","","","",
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","59.7773265083934","59.8781528089471","58.4928738323479","78.7827580362892","82.2084438594401","101.290471274167","137.899361896954","161.322000088481","129.506653844251","129.798541408375","157.187422389233","160.372835554154","136.117014381199","144.110318929266","174.94203831954","187.975604013726","199.026172729051","226.005343759305","249.287386261794","277.900741665078","274.880858701521","266.493041808705","","","","","","","","","","","","","","","","","","","","117.409690794955","187.845094955388","198.728543552291","219.141352785465","250.29412990949","272.563077018147","369.835795969823","373.361116300036","445.893297923744","553.300289383064","603.53702306241","669.009050888028","631.744970641527","612.069651391198","584.025902055779","561.778746269502",
"Angola","AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","630.074984961849","612.074840384629","595.857754388612","580.555024871497","847.76672420739","823.792184336632","965.361296350428","438.320519601465","393.784520850398","293.278222405082","353.18204509917","512.620965887672","506.884952193443","415.693345857987","385.768853472854","555.296941863334","526.168742996854","711.181715953492","779.468305598703","1041.08684392862","1443.99192856374","2062.41514942577","2878.83714393079","3868.57888289748","3347.84485033644","3529.05348173757","4299.01288877922","4598.24998765441","4804.61688354724","4709.31202367384","3695.79374814656","3110.80818263013",
"Albania","ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","662.520052309054","662.914792567128","719.157295703914","699.384292086697","676.566732520011","723.409610237851","639.463899289892","348.711317786982","218.492165902633","380.527371084275","619.065163447139","760.559375774093","1046.35851070754","749.58464901464","865.302161769888","1098.42546340677","1175.78898079471","1326.97033929809","1453.64277657175","1890.68155733514","2416.58823505194","2709.14293061386","3005.01290331851","3603.01368536638","4370.53964653148","4114.13654490945","4094.35883191918","4437.17806843608","4247.61430826246","4414.72313957332","4575.76378666221","3954.02278326009","4146.89625046198",
"Andorra","AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","3238.55684977329","3498.1736515232","4217.17358114253","5342.16856044208","6319.73903384837","7169.10100559556","7152.37513361051","7751.37021575891","9129.7061851808","11820.8493928325","12377.4116456877","10372.232834745","9610.26630831575","8022.65478128161","7728.90669456943","7774.39382903478","10361.8159820255","12616.167565929","14304.3569645785","15166.437850754","18878.5059692988","19532.5401504525","20547.7117897897","16516.4710272204","16234.8090102012","18461.0648581512","19017.1745902241","18353.0597218473","18894.5214963227","19261.7105038886","21435.9264041271","22037.3605543684","24518.3430618223","32438.6839009185","38255.9504989711","41185.9890206932","43666.985144989","48510.4672826221","47712.2990809422","43215.6870129515","39627.6635163399","40919.1832785953","38167.0957462493","40215.4353174077","","","",
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","222.688851118795","238.909677072281","256.420887291064","289.545005993553","335.083670168986","414.097398681786","769.190157214946","826.003250352225","996.654547278313","1114.40034839745","1182.82729406704","1550.23598341447","2041.03141797044","2037.93523203375","1837.65992068575","1670.07037485148","1641.3812215463","1572.0508262801","1451.72375305656","1525.70405635921","1458.43330230124","1486.82597568417","1988.4587397716","1905.20915542162","2004.63397954694","1974.89059006832","1970.31573498855","2053.7214208628","2216.77512378469","2300.5881269061","2172.84800553048","2316.45929252945","2589.64845014614","2495.36631201198","2462.79144162643","2721.61572082705","3117.66080601244","3745.79092991719","4336.71858341177","4937.5982177301","6114.03995936072","5157.25289827672","5916.32962351113","6856.59367845743","7341.23989200003","7435.88912093028","7446.36966072443","6430.07195736751","6153.06954728785",
"United Arab Emirates","ARE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","26556.080029911","29698.1692220993","33245.8360986374","27897.3270935772","32798.4782338538","41825.995457574","44012.333067279","39193.7409726279","34159.0373526707","31709.2543340905","29189.1677892304","23056.1045271808","23312.9295261613","21907.5979773605","23612.7451969684","27256.2909428352","26168.2666231036","25993.558007767","25199.3495771446","25467.1922190635","26847.080053195","28615.5821410126","29199.524610859","26663.3087045186","28260.0050167828","33071.2686869422","31061.5293454235","31311.3593562152","33230.5231807291","36161.1706068291","39439.8019679284","42372.2216623658","42672.6132294857","45758.9055356627","33072.5751663719","35049.1483167837","40462.3120904192","42112.2356483963","43350.6426817411","44449.7403487138","39101.7468901055","37622.2074575932",
"Argentina","ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","1148.57995706663","845.077184202247","1166.31739957616","1272.01049600796","1266.34498858151","1057.7556614712","1136.51783223167","1324.08293470701","1317.48775502669","1366.35472649443","1401.48779454318","2083.97221812887","2824.65091518844","2011.68904032488","1932.590782074","2112.50117336788","2129.31379311298","2501.48075287736","2738.28472318497","2756.39698132362","2907.75762701156","3530.13178314168","2643.36939813156","2909.51661013406","3595.08589823166","3546.71882015564","3969.32741166282","2375.33910272555","4318.77469950773","5715.50439657303","6798.02676272931","6940.35035806909","7449.48038977242","7373.42824568235","7683.57406483774","8172.66432306173","8248.76198864344","7736.36962254054","7669.27391554066","7170.69467365192","2579.19316821209","3330.43700583548","4251.57434819873","5076.8838291729","5878.76102735208","7193.61763973522","8953.35927526277","8161.30696648652","10276.2604977053","12726.9083594731","12969.7071238969","12976.6364245411","12245.2564487696","13467.1023570022","12449.2168521177",
"Armenia","ARM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","637.855741161631","590.122225741606","369.63338719485","357.204338516528","400.516091946093","456.375899740664","504.05951401405","523.283569101208","609.173025421613","597.433481746908","622.742747687983","694.430511932268","783.261609869998","930.166156701539","1191.96191990706","1643.75839706397","2158.00290895457","3138.80870341248","4010.02699722693","2993.83253109033","3218.38165488465","3526.97814267659","3684.80481032649","3843.5912130934","3994.71235479566","3609.65477582664","3606.15205715147",
"American Samoa","ASM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8751.76652874972","8914.52543261668","8639.30885529158","8508.40691498359","8456.94799658994","8980.53641434813","9871.99719445906","12058.26382343","10352.8227618312","10375.9942154736","11660.329531052","11553.6912144936","11508.5592654725","11541.8549795632","",
